LABORATORY,FSRI 
TEST IDENT,Cardboard_HF25_R2
OPERATOR,Marino
MATERIAL,Cardboard
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0403820239007473
SPEC HOLDER DIFF,-566
SPECIMEN MASS,5.949999809265137
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,903
TIME TO IGN,32.5
END OF TEST SCAN,423
END OF TEST TIME,105.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.61 x 100.77 x 3.93 mm; with calcium silicate substrate; with tie wires;
POST TEST CMT,Sample charred and became ash. Smoldered after removal.
