LABORATORY,FSRI 
TEST IDENT,Polyisocy_HF50_R2
OPERATOR,Marino
MATERIAL,Polyisocyanurate Foam Board Greene County
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03985478729009628
SPEC HOLDER DIFF,-566
SPECIMEN MASS,16.729999542236328
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,840
TIME TO IGN,2.75
END OF TEST SCAN,360
END OF TEST TIME,90
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.15 x 102.11 x 24.70 mm;
POST TEST CMT,"Sample popped and shot off pieces of foam. Sample became embrittled. Remains of sample resemble a lattice structure, refer to post test photos"
