LABORATORY,FSRI 
TEST IDENT,Rebond_Foam_HF25_1
OPERATOR,Dow
MATERIAL,Rebond Foam Carpet Padding
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04006402567028999
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.739999771118164
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,802
TIME TO IGN,6.5
END OF TEST SCAN,322
END OF TEST TIME,80.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.49 x 99.47 x 9.10 mm
POST TEST CMT,Near end of test the corners of the foil pan lifted up. 
