LABORATORY,FSRI 
TEST IDENT,Rebond_Foam_HF50_2
OPERATOR,Dow
MATERIAL,Rebond Foam Carpet Padding
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04012862965464592
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.920000076293945
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,671
TIME TO IGN,1.25
END OF TEST SCAN,191
END OF TEST TIME,47.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.58 x 101.37 x 8.82 mm
POST TEST CMT,As flames extinguished at end of test the corners of the foil pan lifted up.
