LABORATORY,FSRI 
TEST IDENT,Rebond_Foam_HF25_3
OPERATOR,Dow
MATERIAL,Rebond Foam Carpet Padding
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04006402567028999
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.460000038146973
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,788
TIME TO IGN,7.75
END OF TEST SCAN,308
END OF TEST TIME,77
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.20 x 100.11 x 9.16 mm
POST TEST CMT,As flames extinguished at end of test the corners of the foil pan lifted up.
