LABORATORY,FSRI 
TEST IDENT,Rebond_Foam_HF50_3
OPERATOR,Dow
MATERIAL,Rebond Foam Carpet Padding
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04012862965464592
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.110000133514404
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,682
TIME TO IGN,1.25
END OF TEST SCAN,202
END OF TEST TIME,50.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.16 x 100.46 x 8.96 mm
POST TEST CMT,As flames extinguished at end of test the foil pan folded in on itself.
