LABORATORY,FSRI 
TEST IDENT,HDPE_HF50_1
OPERATOR,Dow
MATERIAL,HDPE
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04156731069087982
SPEC HOLDER DIFF,-55.25
SPECIMEN MASS,31
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1148
TIME TO IGN,54.5
END OF TEST SCAN,668
END OF TEST TIME,167
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.01 x 99.89 x 3.00 mm
POST TEST CMT,"minor dripping. adjusted foil pan by hand during test to minimize dripping, expect blip in mass time history data. "
