LABORATORY,FSRI 
TEST IDENT,Standard_Gypsum_50_2
OPERATOR,Dow
MATERIAL,Standard Gypsum
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04185835272073746
SPEC HOLDER DIFF,-566
SPECIMEN MASS,76.5199966430664
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,724
TIME TO IGN,45.5
END OF TEST SCAN,244
END OF TEST TIME,61
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.67 x 102.50 x 12.75 mm
POST TEST CMT,"The gypsum paper continued to have a glowing orange color after the flame self-extinguished, however the test was ended because there was no longer ignition."
