LABORATORY,FSRI 
TEST IDENT,Nylon_HF25_1
OPERATOR,Dow
MATERIAL,Nylon
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,304.57000732421875
SPECIMEN MASS,36.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,11758
TIME TO IGN,0
END OF TEST SCAN,11278
END OF TEST TIME,2819.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.93 x 99.56 x 3.12 mm; 60 mm spacing
POST TEST CMT,Sample did not ignite. Expanded vertically. See post test pictures. 
