LABORATORY,FSRI 
TEST IDENT,EPDM_HF50_4
OPERATOR,Dow
MATERIAL,EPDM Membrane
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.00884
C FACTOR,0.03914763405919075
SPEC HOLDER DIFF,-566
SPECIMEN MASS,80.9000015258789
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3001
TIME TO IGN,20.25
END OF TEST SCAN,2521
END OF TEST TIME,630.25
TEST STATUS,1
PRE TEST CMT,Thickness: 6.04 mm; with frame; primary interest on time to ignition
POST TEST CMT,After ignition the sample expanded vertically more than two centimeters.
