Names,EPDM_Membrane_R1,EPDM_Membrane_R2,EPDM_Membrane_R3,EPDM_Membrane_R4,EPDM_Membrane_R5,Mean,Std. Dev.
933,919.0,518.2,367.6,348.4,326.6,496.0,248.2
934,917.8,525.2,357.7,344.7,337.5,496.6,247.9
935,907.4,525.6,366.5,343.2,334.1,495.4,243.1
936,904.5,518.6,369.3,345.1,337.5,495.0,240.5
937,896.9,512.8,364.4,333.3,334.9,488.5,240.0
938,898.8,525.4,367.9,340.7,333.2,493.2,239.8
939,907.5,534.4,364.2,346.5,338.7,498.3,242.5
940,921.2,535.3,358.3,343.8,336.9,499.1,249.9
941,904.8,536.2,366.7,345.6,335.2,497.7,241.8
942,901.9,530.4,365.6,339.1,341.9,495.8,240.5
943,893.5,541.8,356.9,331.7,330.3,490.8,241.7
944,896.6,552.3,362.7,347.7,338.2,499.5,238.9
945,898.9,537.8,373.5,348.8,334.8,498.8,238.1
946,867.9,549.7,369.9,337.6,330.6,491.1,228.8
947,854.2,574.3,363.7,344.2,332.6,493.8,224.5
948,866.5,542.5,370.3,346.2,337.9,492.7,225.1
949,878.3,547.6,359.8,337.7,330.2,490.7,234.4
950,860.8,564.0,364.3,340.2,336.6,493.2,226.2
951,856.3,553.5,361.8,343.3,337.5,490.5,223.3
952,832.4,573.5,363.8,336.8,335.3,488.4,216.5
953,836.8,559.2,364.0,337.0,332.8,485.9,217.4
954,862.5,557.0,366.1,339.4,335.4,492.1,226.5
955,853.6,586.2,364.4,340.1,329.0,494.7,226.7
956,840.6,573.6,368.2,339.6,331.5,490.7,219.4
957,845.8,573.6,355.7,335.3,328.7,487.8,224.4
958,841.7,576.7,362.7,339.5,329.9,490.1,221.2
959,841.8,581.5,361.2,339.7,332.1,491.3,221.5
960,864.5,584.3,371.6,340.6,330.7,498.3,229.4
961,843.2,582.3,364.4,331.1,336.6,491.5,222.4
962,840.4,584.5,362.6,337.3,325.0,490.0,222.8
963,819.5,593.1,363.2,343.9,331.2,490.2,213.2
964,817.4,573.3,359.9,338.9,332.1,484.3,211.3
965,827.0,579.6,370.4,332.9,332.8,488.6,215.2
966,829.2,600.0,375.1,338.9,330.3,494.7,217.1
967,804.5,591.2,363.1,333.1,333.2,485.0,208.8
968,821.5,597.3,362.5,337.3,333.7,490.5,215.3
969,784.5,610.4,362.1,342.2,327.2,485.3,203.6
970,819.6,598.0,366.8,341.1,327.0,490.5,214.6
971,822.1,602.7,361.0,343.4,320.8,490.0,217.8
972,806.5,603.1,364.2,338.2,319.7,486.4,212.6
973,822.3,603.1,364.9,342.9,319.7,490.6,217.7
974,802.7,593.8,363.7,340.5,316.5,483.4,210.2
975,779.9,607.1,363.4,335.0,327.1,482.5,202.5
976,780.0,600.1,364.7,336.9,320.7,480.5,202.2
977,792.9,605.3,356.7,332.7,324.7,482.5,208.9
978,782.4,594.7,369.9,343.1,324.0,482.8,199.8
979,790.4,613.7,365.3,344.3,314.8,485.7,207.9
980,772.9,605.8,363.5,339.8,317.2,479.8,200.9
981,769.1,617.7,366.4,336.8,327.3,483.4,199.5
982,785.4,618.8,362.9,338.4,325.4,486.2,206.2
983,770.7,616.1,364.0,335.1,331.9,483.5,199.6
984,750.5,595.8,362.0,336.6,323.0,473.5,190.7
985,760.0,604.1,368.2,336.4,325.9,478.9,194.1
986,765.6,617.3,358.2,336.8,323.5,480.3,200.2
987,758.7,600.0,365.3,340.9,322.3,477.4,193.3
988,742.8,602.7,363.0,335.9,326.3,474.2,188.4
989,749.2,618.4,362.4,335.7,326.0,478.3,193.6
990,755.4,614.1,365.4,336.1,326.2,479.4,194.5
991,757.1,605.9,372.5,335.1,324.1,478.9,193.3
992,745.5,612.4,360.7,338.4,324.3,476.3,191.4
993,752.3,611.4,365.0,338.2,327.0,478.8,192.5
994,746.0,605.1,364.9,332.6,323.1,474.3,191.0
995,756.8,612.4,364.2,333.8,320.6,477.6,196.4
996,728.5,616.7,370.7,332.8,323.6,474.5,186.0
997,749.6,608.5,367.3,336.7,325.3,477.5,191.3
998,750.6,616.1,368.3,330.8,329.1,479.0,193.2
999,736.4,601.3,364.4,336.4,325.4,472.8,185.8
1000,730.6,622.4,370.4,329.5,324.8,475.6,188.2
1001,714.0,609.1,376.0,332.3,325.4,471.4,178.6
1002,723.2,601.2,363.5,336.4,319.5,468.8,182.4
1003,722.6,589.4,363.5,334.4,327.7,467.5,178.9
1004,696.6,608.6,365.4,333.9,321.5,465.2,174.6
1005,717.2,610.3,366.2,330.9,330.0,470.9,180.6
1006,703.3,597.4,363.4,334.0,327.3,465.1,173.8
1007,722.4,604.6,364.3,340.3,326.1,471.5,180.7
1008,705.8,604.9,368.5,337.4,326.6,468.6,174.8
1009,699.5,627.4,369.6,336.7,321.5,470.9,178.4
1010,698.8,608.1,367.8,337.9,321.0,466.7,174.3
1011,698.3,606.3,368.2,338.2,325.2,467.2,172.7
1012,697.9,595.1,363.8,338.2,323.6,463.7,171.3
1013,688.9,610.4,364.9,340.3,313.5,463.6,173.0
1014,687.7,597.7,370.1,335.0,313.0,460.7,170.4
1015,702.3,598.7,369.2,328.4,318.2,463.4,175.8
1016,701.6,600.1,374.1,329.6,318.1,464.7,174.9
1017,710.6,602.2,370.6,338.1,319.8,468.3,176.9
1018,680.8,601.0,374.0,338.2,323.7,463.5,165.4
1019,711.0,608.4,369.0,340.5,320.5,469.9,177.9
1020,686.9,615.2,374.5,341.1,319.1,467.3,170.7
1021,691.9,597.8,368.0,337.5,319.8,463.0,170.2
1022,673.3,596.8,367.8,340.3,318.7,459.4,163.5
1023,680.5,607.6,379.7,329.6,314.7,462.4,169.5
1024,699.8,607.8,374.8,335.2,321.1,467.7,174.1
1025,678.8,616.8,374.5,330.5,321.4,464.4,170.0
1026,695.4,592.6,371.8,337.7,322.6,464.0,169.2
1027,709.2,589.8,373.4,339.8,316.1,465.6,174.2
1028,691.3,594.5,372.1,341.4,322.4,464.4,167.5
1029,691.9,593.7,376.9,335.6,314.8,462.6,169.6
1030,685.5,604.6,373.4,336.5,302.7,460.5,172.7
1031,686.2,593.2,370.5,339.1,313.1,460.4,168.2
1032,704.0,606.4,376.1,338.3,317.2,468.4,175.3
1033,681.3,586.2,382.3,337.8,312.6,460.0,164.0
1034,681.3,588.3,371.3,335.7,313.8,458.1,165.9
1035,703.3,598.2,383.0,335.2,315.7,467.1,173.5
1036,674.9,589.2,372.1,340.1,307.1,456.7,164.5
1037,673.0,579.5,374.4,328.8,305.5,452.2,164.1
1038,672.4,586.1,374.0,331.2,316.3,456.0,162.4
1039,682.2,590.8,372.1,334.7,314.9,458.9,166.5
1040,669.3,589.2,377.4,334.9,314.7,457.1,161.3
1041,670.2,580.7,376.7,332.7,314.4,454.9,160.4
1042,665.7,589.9,373.4,335.0,319.3,456.6,159.7
1043,685.4,590.0,377.5,336.3,318.8,461.6,165.6
1044,655.8,575.4,369.8,329.9,320.9,450.4,154.6
1045,666.9,579.3,379.0,331.2,313.9,454.1,159.2
1046,662.3,575.0,370.9,330.8,310.8,450.0,158.5
1047,652.9,579.8,377.7,321.4,320.0,450.3,155.5
1048,671.7,574.6,368.7,331.3,315.1,452.3,160.9
1049,678.9,556.4,376.3,329.9,316.2,451.5,159.3
1050,653.2,574.9,372.0,327.1,318.6,449.2,154.4
1051,653.9,564.4,373.0,331.2,322.0,448.9,150.9
1052,645.8,578.1,371.7,339.7,319.2,450.9,150.1
1053,641.3,558.9,375.2,346.7,325.8,449.6,141.5
1054,631.9,554.2,374.1,345.3,323.9,445.9,138.3
1055,655.0,569.2,378.3,340.4,330.1,454.6,148.0
1056,651.5,555.4,366.8,347.9,325.0,449.3,145.5
1057,637.6,565.3,374.6,347.6,329.6,450.9,140.7
1058,641.5,561.9,373.3,347.7,322.9,449.5,142.9
1059,650.4,547.2,370.3,347.3,323.8,447.8,143.5
1060,638.5,556.3,379.4,342.5,329.7,449.3,139.5
1061,626.3,556.3,379.9,348.8,327.2,447.7,134.7
1062,625.9,543.7,377.8,340.5,326.6,442.9,134.1
1063,615.7,553.6,373.4,353.8,330.2,445.3,130.0
1064,617.5,557.7,380.7,347.9,338.1,448.4,129.8
1065,632.2,550.6,374.8,346.8,329.3,446.7,136.1
1066,634.2,540.6,379.5,342.1,330.8,445.4,134.9
1067,626.4,548.3,378.1,341.4,330.5,444.9,134.1
1068,625.8,552.2,376.6,347.5,328.7,446.2,134.1
1069,602.7,556.2,378.1,350.8,326.9,442.9,127.0
1070,623.9,547.4,382.6,349.1,333.0,447.2,130.5
1071,602.8,536.4,375.8,349.5,329.4,438.8,122.8
1072,606.1,547.7,378.0,354.9,332.1,443.8,124.4
1073,618.5,541.1,380.3,351.8,330.6,444.5,127.7
1074,599.1,546.2,378.8,353.8,337.7,443.1,120.6
1075,596.0,541.1,379.6,351.3,330.5,439.7,120.5
1076,599.2,537.3,374.0,343.9,328.2,436.5,123.3
1077,594.9,550.8,376.1,343.1,332.0,439.4,123.9
1078,610.2,536.8,381.5,353.8,335.6,443.6,122.5
1079,605.8,535.6,375.6,352.2,331.0,440.0,122.9
1080,591.6,529.2,374.1,347.2,332.5,434.9,117.6
1081,582.1,553.5,386.5,345.4,335.6,440.6,118.1
1082,581.7,543.1,381.0,350.5,332.1,437.7,116.0
1083,586.3,523.2,379.8,348.5,335.6,434.7,113.0
1084,577.2,540.4,385.6,341.7,335.3,436.0,114.5
1085,587.5,535.7,378.5,358.1,332.8,438.5,115.0
1086,592.5,522.1,386.9,343.8,326.8,434.4,116.9
1087,589.3,519.0,382.9,350.2,324.0,433.1,115.2
1088,573.8,540.9,378.6,345.9,332.0,434.2,114.2
1089,573.1,534.0,395.0,343.0,330.1,435.1,111.7
1090,579.1,530.5,382.0,351.1,332.9,435.1,112.0
1091,581.3,531.1,382.6,348.3,324.8,433.6,115.1
1092,572.7,520.9,389.0,350.4,330.2,432.6,107.9
1093,561.0,550.9,379.3,355.2,335.9,436.5,110.2
1094,582.6,524.1,388.3,358.1,328.3,436.3,110.9
1095,574.3,531.9,379.8,353.2,327.4,433.3,111.9
1096,566.6,516.6,382.4,351.2,330.6,429.5,105.5
1097,573.3,536.2,382.8,358.3,331.7,436.5,110.3
1098,570.6,528.8,395.4,358.0,333.5,437.3,106.0
1099,573.7,521.7,391.5,348.7,324.0,431.9,110.0
1100,577.8,528.0,383.5,345.6,329.4,432.9,112.7
1101,560.5,515.2,389.5,354.1,327.7,429.4,102.7
1102,577.7,514.9,390.5,359.1,325.2,433.5,107.9
1103,566.7,529.4,392.9,349.5,327.4,433.2,108.3
1104,564.0,517.8,382.8,352.5,331.8,429.8,104.3
1105,574.8,519.7,393.2,355.5,325.6,433.8,108.1
1106,566.3,514.8,384.0,356.4,321.5,428.6,106.1
1107,568.8,519.2,395.3,354.5,329.6,433.5,105.0
1108,558.7,516.5,391.8,357.0,324.1,429.6,102.5
1109,566.3,512.9,392.2,357.5,329.7,431.7,102.7
1110,576.3,505.0,390.2,356.9,328.2,431.3,105.3
1111,567.7,518.2,388.0,349.6,321.0,428.9,108.2
1112,572.1,516.9,404.2,355.0,323.2,434.3,106.5
1113,562.3,503.2,391.3,359.9,324.8,428.3,100.4
1114,570.7,501.6,392.8,359.6,328.8,430.7,101.8
1115,559.1,516.8,394.7,357.4,330.9,431.8,100.7
1116,570.6,509.6,399.3,358.7,322.2,432.1,104.5
1117,567.2,503.9,403.8,351.8,331.5,431.6,101.0
1118,563.9,513.0,395.2,362.2,330.7,433.0,100.5
1119,567.6,503.6,393.6,352.3,326.1,428.6,103.1
1120,561.8,504.9,400.8,354.4,321.3,428.6,101.6
1121,555.1,509.7,403.0,349.5,324.7,428.4,100.4
1122,564.2,500.7,401.3,351.1,321.1,427.7,102.3
1123,571.3,509.1,399.6,343.8,324.5,429.7,106.9
1124,557.7,502.0,396.7,357.1,325.7,427.9,98.5
1125,563.2,497.3,399.8,355.1,327.6,428.6,99.1
1126,561.8,503.2,413.3,353.3,323.1,430.9,100.4
1127,559.9,496.0,400.3,362.9,321.7,428.1,97.9
1128,555.6,498.5,398.5,355.5,332.7,428.1,95.5
1129,546.5,496.8,396.0,355.4,319.4,422.8,95.8
1130,557.0,494.1,390.6,359.1,324.8,425.1,97.2
1131,559.4,511.9,403.0,346.5,322.1,428.6,103.5
1132,551.2,505.6,396.8,353.5,322.4,425.9,98.6
1133,538.1,495.6,393.8,359.9,327.8,423.1,90.0
1134,542.4,498.8,393.7,359.6,329.0,424.7,91.8
1135,546.3,487.2,392.0,358.9,332.3,423.3,90.3
1136,542.7,494.0,402.3,354.8,329.4,424.6,91.1
1137,540.8,488.4,395.5,358.5,325.2,421.7,90.4
1138,535.3,477.8,395.2,362.3,321.2,418.4,87.1
1139,551.5,486.3,402.3,354.6,332.5,425.4,91.9
1140,538.4,500.8,393.8,352.8,323.9,421.9,93.5
1141,540.1,481.6,406.3,357.1,324.1,421.8,88.8
1142,530.5,502.2,392.2,353.7,327.7,421.2,90.4
1143,541.2,486.0,389.8,356.4,328.3,420.3,90.0
1144,535.2,483.0,398.5,361.0,325.2,420.6,86.8
1145,538.9,491.1,392.8,354.3,329.1,421.3,90.2
1146,538.6,481.1,387.5,362.4,328.6,419.6,87.4
1147,528.1,478.4,389.4,359.6,328.8,416.9,83.6
1148,521.4,487.6,391.2,356.0,330.8,417.4,83.2
1149,526.3,487.9,392.9,366.9,325.9,420.0,84.2
1150,522.3,480.6,394.2,357.2,327.6,416.4,82.5
1151,525.2,488.3,383.0,354.5,323.3,414.9,87.5
1152,511.2,487.2,390.6,363.7,328.5,416.3,79.3
1153,517.7,486.1,391.4,350.0,326.3,414.3,84.0
1154,520.9,487.9,386.1,352.8,327.8,415.1,84.9
1155,519.0,496.6,389.9,351.2,321.5,415.6,87.9
1156,515.8,488.8,383.8,357.8,324.6,414.2,83.7
1157,511.1,492.2,381.3,361.5,326.1,414.5,82.3
1158,509.1,483.0,385.1,352.5,328.5,411.7,80.2
1159,517.2,479.8,378.6,350.7,319.8,409.2,85.1
1160,513.2,487.0,385.3,360.3,331.0,415.4,80.3
1161,498.5,479.1,385.6,358.4,331.6,410.6,74.2
1162,504.3,484.9,377.4,350.4,322.9,408.0,81.7
1163,504.0,478.0,384.9,354.2,328.5,409.9,77.2
1164,501.4,482.2,386.0,350.9,322.2,408.5,79.6
1165,497.2,482.6,386.6,343.6,332.2,408.4,77.2
1166,505.1,476.4,385.4,354.3,324.7,409.2,78.2
1167,494.6,479.5,385.9,353.3,327.2,408.1,75.2
1168,493.9,473.9,375.6,357.9,328.7,406.0,73.4
1169,493.5,466.9,380.4,348.9,329.3,403.8,72.7
1170,499.8,477.3,381.5,348.6,332.2,407.9,76.2
1171,494.1,479.8,380.6,346.7,317.7,403.8,79.3
1172,480.6,481.9,373.9,348.8,321.9,401.4,75.2
1173,489.2,481.7,368.5,346.7,325.1,402.2,77.6
1174,488.4,473.8,365.8,350.4,321.7,400.0,75.8
1175,487.6,476.0,375.0,346.4,317.1,400.4,77.2
1176,482.8,479.7,373.6,340.5,318.7,399.0,77.5
1177,477.7,464.5,368.7,344.0,326.9,396.3,70.0
1178,481.8,464.9,370.3,342.2,321.8,396.2,72.7
1179,488.2,469.9,367.3,338.6,325.2,397.8,76.0
1180,478.8,470.8,371.6,339.9,328.1,397.8,72.1
1181,489.3,478.9,369.4,341.6,331.0,402.1,76.3
1182,477.2,473.1,365.3,338.7,324.4,395.8,74.0
1183,469.2,476.7,372.2,339.5,327.2,396.9,71.4
1184,468.7,485.6,369.2,341.0,323.3,397.6,74.7
1185,471.8,479.2,363.0,345.5,323.6,396.6,73.4
1186,475.1,480.0,369.4,340.2,321.1,397.2,75.4
1187,470.7,478.0,362.6,340.3,320.9,394.5,74.4
1188,472.5,470.5,368.2,340.8,328.7,396.1,70.3
1189,469.1,469.8,366.4,339.4,328.0,394.5,69.8
1190,468.1,482.0,361.2,339.2,322.1,394.5,75.0
1191,463.2,464.6,361.8,335.2,319.4,388.8,70.2
1192,462.9,466.8,361.5,337.7,320.7,389.9,69.9
1193,466.2,477.4,362.8,335.4,321.3,392.6,73.9
1194,463.4,476.2,358.9,336.9,321.7,391.4,72.9
1195,465.3,469.2,359.9,331.5,319.2,389.0,72.9
1196,455.9,466.4,360.4,335.8,322.6,388.2,68.1
1197,458.6,465.6,355.3,334.2,311.5,385.0,72.1
1198,460.7,470.2,351.2,331.7,312.2,385.2,74.6
1199,464.6,463.7,362.5,337.2,316.6,388.9,70.6
1200,456.6,471.4,354.8,335.5,320.8,387.8,70.7
1201,455.7,464.9,354.9,327.2,318.0,384.1,70.9
1202,456.5,483.0,349.3,327.6,320.3,387.4,76.6
1203,443.6,473.2,355.3,327.2,312.3,382.3,71.9
1204,452.1,466.4,357.4,329.1,328.7,386.7,67.4
1205,439.6,464.3,357.2,325.3,322.6,381.8,66.0
1206,445.7,473.4,351.0,322.5,320.8,382.7,71.8
1207,444.9,471.6,351.7,322.7,321.3,382.4,70.9
1208,426.9,472.3,343.9,321.1,320.5,377.0,68.9
1209,442.8,465.3,350.2,318.7,318.0,379.0,70.2
1210,444.0,460.1,344.4,321.4,318.2,377.6,68.9
1211,442.3,467.8,345.1,320.1,323.7,379.8,69.9
1212,446.5,468.0,342.7,318.4,319.7,379.0,72.4
1213,431.8,473.8,344.7,316.4,322.8,377.9,70.8
1214,432.5,457.4,351.7,319.6,318.1,375.9,65.1
1215,425.3,462.1,338.2,323.1,319.5,373.6,65.6
1216,436.6,471.3,345.0,306.8,321.7,376.3,73.2
1217,442.2,461.6,344.0,318.5,323.0,377.8,68.6
1218,432.4,463.2,344.0,311.1,321.4,374.4,68.9
1219,431.9,456.5,347.3,311.6,318.9,373.2,66.7
1220,428.9,454.1,338.2,309.2,323.1,370.7,66.0
1221,427.5,467.9,339.7,308.0,324.2,373.5,70.2
1222,420.7,459.8,339.0,311.4,321.7,370.5,65.9
1223,424.0,464.6,341.6,309.6,318.1,371.6,68.9
1224,424.0,449.4,338.4,304.5,319.0,367.1,65.3
1225,412.2,464.0,334.7,310.8,318.6,368.0,67.1
1226,413.9,456.8,337.0,306.9,324.2,367.8,64.4
1227,418.1,454.1,335.9,304.3,316.9,365.9,66.3
1228,423.2,460.0,334.0,308.5,321.9,369.5,67.7
1229,426.4,470.6,339.4,306.0,316.8,371.8,72.7
1230,408.4,459.4,340.1,302.2,321.7,366.4,65.6
1231,409.9,463.6,333.1,304.1,316.7,365.5,68.6
1232,409.9,458.4,336.6,299.1,314.1,363.6,68.0
1233,406.4,455.2,332.1,299.2,310.0,360.6,67.5
1234,405.0,465.2,327.3,301.4,315.5,362.9,69.9
1235,406.4,458.6,338.6,297.0,318.0,363.7,67.1
1236,410.3,458.1,333.3,297.4,315.2,362.9,68.5
1237,409.5,460.3,329.3,299.4,315.5,362.8,69.0
1238,402.6,458.9,326.3,302.2,310.9,360.2,68.0
1239,404.8,466.7,329.9,296.5,310.3,361.6,72.1
1240,403.1,456.8,327.3,295.2,315.9,359.7,67.9
1241,400.5,459.7,326.1,297.2,318.0,360.3,67.9
1242,406.4,454.0,328.1,294.3,311.5,358.8,68.3
1243,403.6,470.2,325.5,297.0,309.4,361.1,73.7
1244,397.1,478.5,330.3,290.9,303.6,360.1,77.9
1245,397.7,473.6,329.6,292.9,303.8,359.5,75.7
1246,401.6,471.0,328.2,291.7,305.0,359.5,75.4
1247,399.2,465.7,330.9,294.2,309.3,359.9,71.5
1248,405.0,460.7,322.2,288.7,313.2,358.0,72.2
1249,400.0,470.2,323.3,291.2,314.8,359.9,74.0
1250,394.0,474.1,319.7,290.3,311.5,357.9,75.8
1251,391.9,472.6,320.2,286.8,314.6,357.2,75.3
1252,392.8,471.7,316.8,292.4,309.9,356.7,74.9
1253,397.6,463.9,322.8,281.3,310.6,355.2,74.4
1254,397.2,476.2,313.3,286.2,311.4,356.8,78.8
1255,390.8,472.3,318.7,286.6,310.0,355.7,75.9
1256,386.6,465.6,318.8,292.2,311.4,354.9,71.4
1257,392.3,458.8,317.6,287.8,307.0,352.7,71.3
1258,393.5,477.3,310.7,288.4,305.7,355.1,79.5
1259,385.8,471.9,315.3,289.0,304.4,353.3,76.0
1260,387.1,484.1,311.8,290.8,303.6,355.5,81.1
1261,394.2,479.7,310.6,289.8,297.3,354.3,81.6
1262,381.6,472.1,309.9,286.6,299.9,350.0,77.5
1263,378.4,465.5,313.7,286.8,302.0,349.3,73.8
1264,385.6,485.0,317.3,285.5,303.2,355.3,81.8
1265,378.9,468.1,309.1,283.7,294.8,346.9,77.2
1266,381.7,463.3,306.8,278.4,299.5,345.9,76.3
1267,377.5,480.3,303.7,281.1,296.4,347.8,82.9
1268,377.8,471.8,308.3,280.4,299.9,347.6,78.6
1269,379.5,477.1,309.4,284.0,300.4,350.1,79.9
1270,376.2,482.4,306.4,279.5,297.7,348.4,83.4
1271,376.9,477.4,308.8,278.0,295.6,347.3,81.8
1272,380.5,465.1,308.7,280.6,294.8,345.9,76.9
1273,383.4,474.7,304.3,281.2,298.9,348.5,80.7
1274,379.9,478.6,305.5,282.4,293.4,348.0,82.4
1275,373.3,461.8,304.8,278.5,292.4,342.2,76.2
1276,385.8,481.2,299.6,277.0,294.2,347.6,85.8
1277,376.3,478.1,302.5,277.0,298.2,346.4,82.6
1278,372.0,467.9,302.3,274.5,291.8,341.7,79.7
1279,375.2,474.9,305.0,280.2,291.3,345.3,81.4
1280,375.2,488.1,298.8,274.2,289.0,345.1,89.0
1281,369.9,479.0,296.0,271.1,289.1,341.0,85.9
1282,372.3,468.5,304.2,272.4,289.9,341.5,80.5
1283,370.9,466.3,300.4,275.5,286.6,339.9,79.8
1284,370.9,471.9,300.0,273.6,292.1,341.7,81.6
1285,367.0,472.1,294.1,269.2,279.1,336.3,85.0
1286,369.6,470.5,298.1,274.0,291.9,340.8,81.1
1287,367.9,477.3,298.0,277.8,280.5,340.3,84.9
1288,364.8,470.8,293.1,269.9,283.7,336.5,83.6
1289,366.1,478.4,292.2,272.3,281.7,338.1,86.7
1290,364.5,472.8,294.8,274.2,286.6,338.6,82.8
1291,368.4,476.5,289.4,269.9,281.4,337.1,87.0
1292,368.2,464.8,293.2,270.8,283.8,336.2,81.3
1293,364.5,468.3,291.6,273.2,286.7,336.9,81.7
1294,358.9,465.5,290.0,271.5,282.9,333.8,81.2
1295,363.4,464.8,289.6,267.8,278.2,332.8,82.8
1296,361.7,462.6,291.1,266.4,279.5,332.3,81.7
1297,364.5,461.8,292.5,271.9,277.9,333.7,80.6
1298,364.5,449.9,287.1,268.8,277.7,329.6,77.3
1299,362.9,464.3,285.5,269.6,276.9,331.8,83.0
1300,364.2,454.8,286.1,265.8,279.6,330.1,79.6
1301,360.4,452.2,292.3,266.7,275.8,329.5,77.8
1302,356.1,453.2,289.9,265.2,277.4,328.4,78.1
1303,357.4,454.2,289.7,265.7,277.5,328.9,78.5
1304,359.6,442.4,292.3,266.0,279.5,328.0,73.4
1305,360.4,436.2,289.0,263.0,275.2,324.8,72.9
1306,361.7,446.0,284.6,259.5,277.0,325.8,77.8
1307,357.5,445.5,286.7,261.0,277.2,325.6,76.5
1308,354.0,443.2,285.5,255.8,282.8,324.3,75.7
1309,354.2,447.2,284.6,260.9,276.3,324.6,77.3
1310,349.2,441.7,284.0,255.7,276.3,321.4,75.8
1311,350.6,435.2,287.8,259.4,273.0,321.2,72.7
1312,351.1,437.1,286.8,258.2,272.8,321.2,73.9
1313,352.3,439.9,287.1,257.6,269.1,321.2,75.8
1314,348.8,433.1,281.0,254.1,267.3,316.9,74.5
1315,347.2,439.8,289.1,258.1,273.5,321.5,74.2
1316,349.7,433.5,285.2,254.0,269.9,318.5,73.9
1317,350.2,426.4,284.5,258.3,271.5,318.2,70.1
1318,347.3,429.7,281.9,255.1,268.0,316.4,72.6
1319,346.3,426.9,282.5,252.0,269.3,315.4,71.8
1320,351.6,428.9,279.1,253.5,268.7,316.4,73.4
1321,342.2,426.2,282.5,254.9,270.2,315.2,70.3
1322,345.4,419.4,280.6,253.9,267.1,313.3,69.0
1323,342.1,410.1,276.8,257.7,266.5,310.6,64.8
1324,344.7,414.3,280.0,248.6,269.2,311.4,67.8
1325,344.1,413.0,277.8,253.2,267.4,311.1,66.8
1326,344.9,406.3,280.5,253.9,264.8,310.1,64.3
1327,344.3,410.7,274.1,252.9,260.6,308.5,67.6
1328,339.7,410.6,274.8,250.9,265.1,308.2,66.6
1329,347.3,398.8,277.5,251.6,257.9,306.6,64.0
1330,340.8,399.7,277.1,249.6,264.4,306.3,62.7
1331,342.3,403.2,275.2,249.5,261.8,306.4,64.9
1332,342.8,394.3,277.0,252.1,252.7,303.8,62.7
1333,346.2,400.2,267.6,256.1,259.3,305.9,64.5
1334,339.8,393.9,271.2,248.7,259.1,302.5,62.3
1335,337.9,388.5,270.5,253.5,259.9,302.1,58.9
1336,341.8,394.2,272.0,255.6,260.8,304.9,60.8
1337,342.8,386.6,267.7,255.9,261.2,302.8,58.7
1338,342.8,389.8,267.1,255.6,254.6,302.0,61.2
1339,336.3,381.1,264.7,250.1,255.4,297.5,58.3
1340,344.2,377.3,267.6,255.3,255.4,299.9,57.0
1341,334.6,375.8,260.7,251.7,255.8,295.7,56.3
1342,337.6,374.8,264.5,250.4,251.1,295.7,57.0
1343,341.9,374.2,262.4,245.2,249.2,294.6,59.4
1344,344.5,371.6,266.4,252.1,252.3,297.4,56.5
1345,339.3,364.6,265.7,251.0,251.5,294.4,53.6
1346,334.6,370.0,261.4,250.8,252.9,293.9,54.9
1347,334.8,372.2,260.8,250.9,252.8,294.3,55.7
1348,331.2,365.1,259.9,252.3,250.1,291.7,53.0
1349,342.7,366.0,257.2,248.6,249.2,292.7,57.0
1350,337.9,365.3,252.4,250.4,255.4,292.3,55.0
1351,334.4,363.3,255.0,250.5,250.3,290.7,54.1
1352,335.8,361.5,259.1,250.8,251.2,291.7,52.9
1353,336.6,361.3,253.6,247.5,248.8,289.6,54.9
1354,333.1,358.2,256.4,246.9,253.7,289.7,52.0
1355,331.7,355.7,257.7,245.9,249.1,288.0,51.7
1356,338.2,358.1,255.6,250.4,252.0,290.9,52.8
1357,330.4,354.9,256.0,248.8,246.7,287.3,51.3
1358,329.9,354.2,252.6,248.3,246.1,286.2,51.7
1359,334.2,355.6,253.1,247.9,249.4,288.0,52.5
1360,328.1,347.4,257.9,247.4,249.9,286.2,47.8
1361,330.7,350.7,254.1,241.5,246.2,284.6,51.9
1362,327.4,348.1,251.6,246.9,244.3,283.7,50.0
1363,331.6,352.3,254.2,247.9,243.9,286.0,51.8
1364,330.8,353.7,251.8,247.9,246.2,286.1,52.0
1365,328.6,347.3,253.7,248.4,246.0,284.8,49.1
1366,326.1,350.0,249.9,244.1,244.6,282.9,51.1
1367,333.7,344.6,250.6,243.0,243.8,283.2,51.3
1368,327.6,345.7,250.0,245.9,240.0,281.8,50.6
1369,330.1,347.0,247.2,240.9,242.5,281.5,52.5
1370,325.5,341.9,248.3,242.2,238.6,279.3,50.1
1371,327.1,341.8,250.7,241.2,236.0,279.3,50.8
1372,328.4,344.7,246.6,242.4,237.9,280.0,52.1
1373,331.7,344.0,249.6,239.1,243.3,281.5,51.7
1374,324.4,340.5,246.4,234.6,240.9,277.3,50.8
1375,327.5,340.2,247.1,235.4,238.2,277.7,51.6
1376,325.5,341.7,246.5,238.3,240.0,278.4,50.8
1377,322.3,339.6,238.3,239.3,240.5,276.0,50.5
1378,326.0,338.7,246.9,236.0,241.1,277.7,50.2
1379,321.5,343.8,244.9,239.0,239.2,277.7,50.8
1380,327.1,336.5,243.3,233.2,236.0,275.3,51.9
1381,326.7,341.3,243.5,236.8,237.7,277.2,52.2
1382,324.3,335.9,247.0,235.0,234.5,275.4,50.4
1383,326.4,339.6,245.1,239.0,231.5,276.3,52.2
