LABORATORY,FSRI 
TEST IDENT,FurnitureStack_H25_1
OPERATOR,Morrissey
MATERIAL,1'' PUF-1.75''PEBat-PEFabric
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-87.6099853515625
SPECIMEN MASS,20.399999618530273
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1486
TIME TO IGN,59.5
END OF TEST SCAN,1006
END OF TEST TIME,251.5
TEST STATUS,1
PRE TEST CMT,Test w/o retainer grid or frame
POST TEST CMT,"Fabric folded up but when the sample shrunk, it backed away from the spark igniter"
