LABORATORY,FSRI 
TEST IDENT,Countertop_HF75_2
OPERATOR,Dow
MATERIAL,laminate over particle board countertop
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.043097011744976044
SPEC HOLDER DIFF,-566
SPECIMEN MASS,257.04998779296875
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,14883
TIME TO IGN,11.5
END OF TEST SCAN,14403
END OF TEST TIME,3600.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.28 x 98.14 x 39.53 mm; with frame and grid
