LABORATORY,FSRI 
TEST IDENT,Countertop_HF50_1
OPERATOR,Dow
MATERIAL,laminate - particle board countertop
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0417814701795578
SPEC HOLDER DIFF,-566
SPECIMEN MASS,266.70001220703125
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,18073
TIME TO IGN,33
END OF TEST SCAN,17593
END OF TEST TIME,4398.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.91 x 99.66 x 39.59 mm; with frame and grid
POST TEST CMT,"A few seconds prior to ignition the laminate inflated, then popped violently, possibly affecting mass data. "
