LABORATORY,FSRI 
TEST IDENT,Countertop_HF75_3
OPERATOR,Dow
MATERIAL,laminate over particle board countertop
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.043097011744976044
SPEC HOLDER DIFF,-566
SPECIMEN MASS,271.5799865722656
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,14900
TIME TO IGN,11.75
END OF TEST SCAN,14420
END OF TEST TIME,3605
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.02 x 100.83 x 39.93 mm; with frame and grid
POST TEST CMT,"Test ended after 60 minutes, per ASTM criteria. "
