LABORATORY,FSRI 
TEST IDENT,OSB_HF50_3
OPERATOR,Dow
MATERIAL,"5/8"" thick OSB"
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-97.6400146484375
SPECIMEN MASS,100.5999984741211
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3425
TIME TO IGN,22.25
END OF TEST SCAN,2945
END OF TEST TIME,736.25
TEST STATUS,1
PRE TEST CMT,without frame or grid
POST TEST CMT,sample lifted to approximately 30 degree angle near end of test as layers delaminated and bottom layers curled
