LABORATORY,FSRI 
TEST IDENT,PEbat_HF50_3
OPERATOR,Dow
MATERIAL,"PE batting, 1.75 inch thick"
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-85.82000732421875
SPECIMEN MASS,6.409999847412109
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,815
TIME TO IGN,49.25
END OF TEST SCAN,335
END OF TEST TIME,83.75
TEST STATUS,1
PRE TEST CMT,"Approximate thickness: 1.75 inches"
POST TEST CMT,"Two opposing corners of the foil pan lifted upwards in the last few seconds prior to flame extinguishment, causing the foil pan to partially fold in half."
