LABORATORY,FSRI 
TEST IDENT,Basswood_HF25_1
OPERATOR,Dow
MATERIAL,Basswood panel
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03806118667125702
SPEC HOLDER DIFF,-566
SPECIMEN MASS,81.81999969482422
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3809
TIME TO IGN,88
END OF TEST SCAN,3329
END OF TEST TIME,832.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.97 x 101.10 x 18.99 mm
POST TEST CMT,Sample warped dramatically into arched shape during last minute prior to extinguishment. 
