#EXPORTTYPE,NGB PARSER
#FILE,134D_Black_Plastic_STA_N2_10K_251013_R3.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,134D_Black_Plastic_10_C
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2025-10-13T21:41:41+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Black plastic from the MSA G1 Facepiece (mouthpiece/filter holder, etc.).
Sample vial label: ""134D_Black_Plastic  Vial 1 of 2 August 20, 2025""

DOUBLE CHECK data! Crucible slightly to right vs. correction."
#SAMPLE,134D_Black_Plastic
#SAMPLE MASS/mg,4.04
#MATERIAL,134D_Black_Plastic
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,256.1300048828125
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
