Temperature (C),HRR (W/g),HRR correction,R1,HRR (W/g),HRR correction,R2,HRR (W/g),HRR correction,R3
150.00,5.26,5.26,0.00,4.95,4.95,0.00,3.95,3.95,0.00
151.00,4.89,5.23,-0.35,4.85,4.95,-0.10,3.92,3.94,-0.02
152.00,4.94,5.21,-0.27,4.86,4.95,-0.09,3.86,3.93,-0.07
153.00,4.89,5.19,-0.30,5.01,4.95,0.06,3.79,3.93,-0.14
154.00,4.75,5.17,-0.41,4.97,4.95,0.02,3.70,3.92,-0.22
155.00,4.46,5.15,-0.69,4.92,4.95,-0.03,3.62,3.91,-0.29
156.00,4.70,5.13,-0.43,5.08,4.95,0.13,3.51,3.91,-0.39
157.00,4.49,5.10,-0.61,5.13,4.95,0.18,3.61,3.90,-0.28
158.00,4.45,5.08,-0.63,4.88,4.95,-0.07,3.54,3.89,-0.35
159.00,4.69,5.06,-0.37,5.08,4.95,0.12,3.60,3.88,-0.28
160.00,4.48,5.04,-0.56,4.93,4.96,-0.03,3.63,3.88,-0.24
161.00,4.45,5.02,-0.57,5.28,4.96,0.32,3.61,3.87,-0.26
162.00,4.40,5.00,-0.59,5.13,4.96,0.18,3.83,3.86,-0.03
163.00,4.63,4.97,-0.34,4.98,4.96,0.02,3.70,3.85,-0.16
164.00,4.56,4.95,-0.40,4.96,4.96,0.00,3.65,3.85,-0.20
165.00,4.71,4.93,-0.22,4.86,4.96,-0.10,4.04,3.84,0.20
166.00,4.84,4.91,-0.07,4.61,4.96,-0.35,3.65,3.83,-0.18
167.00,4.96,4.89,0.07,4.87,4.96,-0.09,3.69,3.83,-0.14
168.00,4.78,4.87,-0.09,4.97,4.96,0.01,3.87,3.82,0.05
169.00,4.72,4.84,-0.13,4.88,4.96,-0.08,3.93,3.81,0.12
170.00,4.48,4.82,-0.34,4.92,4.96,-0.04,3.79,3.80,-0.01
171.00,4.55,4.80,-0.25,4.60,4.96,-0.36,3.93,3.80,0.13
172.00,4.31,4.78,-0.47,5.08,4.97,0.12,3.79,3.79,0.00
173.00,4.57,4.76,-0.19,5.08,4.97,0.12,3.88,3.78,0.10
174.00,4.20,4.74,-0.54,5.07,4.97,0.10,4.06,3.78,0.28
175.00,4.32,4.71,-0.39,4.80,4.97,-0.16,3.74,3.77,-0.03
176.00,4.81,4.69,0.12,4.96,4.97,-0.01,4.06,3.76,0.30
177.00,4.23,4.67,-0.45,5.08,4.97,0.11,4.06,3.75,0.30
178.00,4.43,4.65,-0.22,5.07,4.97,0.10,4.05,3.75,0.30
179.00,4.55,4.63,-0.08,5.34,4.97,0.37,4.04,3.74,0.30
180.00,4.37,4.61,-0.23,4.97,4.97,-0.00,4.06,3.73,0.32
181.00,4.24,4.59,-0.34,5.28,4.97,0.31,4.11,3.73,0.39
182.00,4.29,4.56,-0.27,5.14,4.97,0.16,3.97,3.72,0.25
183.00,4.48,4.54,-0.06,5.12,4.97,0.14,4.24,3.71,0.53
184.00,4.33,4.52,-0.19,5.02,4.97,0.04,4.13,3.70,0.42
185.00,4.48,4.50,-0.02,5.09,4.98,0.12,4.14,3.70,0.44
186.00,4.38,4.48,-0.10,5.31,4.98,0.33,4.28,3.69,0.59
187.00,4.30,4.46,-0.15,5.37,4.98,0.39,4.27,3.68,0.58
188.00,4.46,4.43,0.02,5.05,4.98,0.08,4.22,3.68,0.55
