LABORATORY,FSRI 
TEST IDENT,Tyvek_HF50_3
OPERATOR,Dow
MATERIAL,Tyvek
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.00884
C FACTOR,0.039038047194480896
SPEC HOLDER DIFF,-566
SPECIMEN MASS,0.699999988079071
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2886
TIME TO IGN,0
END OF TEST SCAN,2406
END OF TEST TIME,601.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100 x 102 x 0.11 mm; with frame; with calcium silicate substrate
POST TEST CMT,No ignition. The sample immediately shriveled towards the edges upon exposure. Test was ended after 10 minute exposure. 
