LABORATORY,FSRI 
TEST IDENT,Tyvek_HF25_3
OPERATOR,Dow
MATERIAL,Tyvek
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03971550241112709
SPEC HOLDER DIFF,-566
SPECIMEN MASS,0.6600000262260437
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2885
TIME TO IGN,0
END OF TEST SCAN,2405
END OF TEST TIME,601.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.04 x 101.45 x 0.11 mm; with frame; with calcium silicate substrate
POST TEST CMT,The sample shriveled and did not ignite. Ended test at 10 minutes.
