LABORATORY,FSRI 
TEST IDENT,XPS_Foam_HF50_2
OPERATOR,Dow
MATERIAL,XPS Foam Insulation
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04070454463362694
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.489999771118164
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,790
TIME TO IGN,16
END OF TEST SCAN,310
END OF TEST TIME,77.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.31 x 101.26 x 25.78 mm
POST TEST CMT,"Immediately after the start of the test the sample began to shrivel, then melt. Formed a small liquid pool prior to ignition."
