LABORATORY,FSRI 
TEST IDENT,XPS_Foam_HF75_1
OPERATOR,Dow
MATERIAL,XPS Foam Insulation
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04070454463362694
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.130000114440918
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,664
TIME TO IGN,4.5
END OF TEST SCAN,184
END OF TEST TIME,46
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.46 x 102.02 x 24.60 mm
POST TEST CMT,"Immediately after the start of the test the sample began to shrivel, then melt. Formed a small liquid pool prior to ignition."
