LABORATORY,FSRI 
TEST IDENT,XPS_Foam_HF50_1
OPERATOR,Dow
MATERIAL,XPS Foam Insulation
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04070454463362694
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.670000076293945
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,862
TIME TO IGN,15.25
END OF TEST SCAN,382
END OF TEST TIME,95.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.46 x 102.83 x 25.46 mm
POST TEST CMT,"Immediately after the start of the test the sample began to shrivel, then melt. Formed a small liquid pool prior to ignition."
