LABORATORY,FSRI 
TEST IDENT,XPS_Foam_HF75_2
OPERATOR,Dow
MATERIAL,XPS Foam Insulation
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04070454463362694
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.269999980926514
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,650
TIME TO IGN,3.25
END OF TEST SCAN,170
END OF TEST TIME,42.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.03 x 102.62 x 25.26 mm
POST TEST CMT,"Immediately after the start of the test the sample began to shrivel, then melt."
