LABORATORY,FSRI 
TEST IDENT,Insulation3_HF75_1
OPERATOR,Dow
MATERIAL,fiberglass insulation 3 (saint gobain)
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04208800941705704
SPEC HOLDER DIFF,-566
SPECIMEN MASS,9.289999961853027
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,546
TIME TO IGN,1.25
END OF TEST SCAN,66
END OF TEST TIME,16.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101 x 97 x 50 mm; with frame compressed to about 40 mm
