LABORATORY,FSRI 
TEST IDENT,Insulation3_HF75_3
OPERATOR,Dow
MATERIAL,fiberglass insulation 3 (saint gobain)
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04208800941705704
SPEC HOLDER DIFF,-566
SPECIMEN MASS,9.180000305175781
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,608
TIME TO IGN,1.5
END OF TEST SCAN,128
END OF TEST TIME,32
TEST STATUS,1
PRE TEST CMT,Dimensions: 98 x 108 x 54 mm; with frame compressed to about 40 mm
