LABORATORY,FSRI 
TEST IDENT,Insulation3_HF50_3
OPERATOR,Dow
MATERIAL,fiberglass insulation 3 (saint gobain)
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04208800941705704
SPEC HOLDER DIFF,-566
SPECIMEN MASS,6.820000171661377
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,526
TIME TO IGN,1.75
END OF TEST SCAN,46
END OF TEST TIME,11.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100 x 95 x 56 mm; with frame compressed to about 40 mm
