LABORATORY,FSRI 
TEST IDENT,Insulation3_HF25_3
OPERATOR,Dow
MATERIAL,fiberglass insulation 3 (saint gobain)
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04208800941705704
SPEC HOLDER DIFF,-566
SPECIMEN MASS,7.699999809265137
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,554
TIME TO IGN,7.25
END OF TEST SCAN,74
END OF TEST TIME,18.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 98 x 99 x 46 mm; with frame compressed to about 40 mm
