LABORATORY,FSRI 
TEST IDENT,Pine_Siding_HF25_2
OPERATOR,Dow
MATERIAL,Pine Siding
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03977454826235771
SPEC HOLDER DIFF,-566
SPECIMEN MASS,68.30000305175781
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5038
TIME TO IGN,56.25
END OF TEST SCAN,4558
END OF TEST TIME,1139.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.78 x 101.24 x 18.01 mm
POST TEST CMT,Some minor warping in last minute prior to extinguishment.
