0,1
#EXPORTTYPE:                 ,DATA COMPARE                                                                                                                                                                                                                    
#FILE:                       ,PEVA_STA_N2_10K_240731_R1.ngb-ss3                                                                                                                                                                                               
#FORMAT:                     ,NETZSCH5                                                                                                                                                                                                                        
#FTYPE:                      ,ANSI                                                                                                                                                                                                                            
#IDENTITY:                   ,PEVA_240703_0.26mm_10                                                                                                                                                                                                           
#DECIMAL:                    ,POINT                                                                                                                                                                                                                           
#SEPARATOR:                  ,COMMA                                                                                                                                                                                                                           
#MTYPE:                      ,DSC                                                                                                                                                                                                                             
#INSTRUMENT:                 ,NETZSCH STA 449F3                                                                                                                                                                                                               
#PROJECT:                    ,NIJ 2019                                                                                                                                                                                                                        
#DATE/TIME:                  ,7/31/2024 16:59:40 (UTC-4)                                                                                                                                                                                                      
#CORR. FILE:                 ,                                                                                                                                                                                                                                
#TEMPCAL:                    ,19-06-2024 11:35                                                                                                                                                                                                                
#SENSITIVITY:                ,19-06-2024 11:28                                                                                                                                                                                                                
#LABORATORY:                 ,UL FSRI                                                                                                                                                                                                                         
#OPERATOR:                   ,John                                                                                                                                                                                                                            
#REMARK:                     ,"PEVA shower curtain for the MAP database.  Originally designated ""PEVA_240703;""  revised to include nominal thickness to differentiate from additional samples.  Sample vial label: ""PEVA_240703 July 05"
#SAMPLE:                     ,PEVA_240703_0.26mm_10                                                                                                                                                                                                           
#SAMPLE MASS /mg:            ,4.03                                                                                                                                                                                                                            
#MATERIAL:                   ,PEVA_240703_0.26mm                                                                                                                                                                                                              
#REFERENCE:                  ,                                                                                                                                                                                                                                
#REFERENCE MASS /mg:         ,0                                                                                                                                                                                                                               
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,253.19                                                                                                                                                                                                                          
#REFERENCE CRUCIBLE MASS /mg:,258.74                                                                                                                                                                                                                          
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                                                                                                                                                                                                            
#TG RANGE /mg:               ,35000                                                                                                                                                                                                                           
#TAU-R:                      ,---                                                                                                                                                                                                                             
#CORR. CODE:                 ,000                                                                                                                                                                                                                             
#EXO:                        ,-1                                                                                                                                                                                                                              
#RANGE:                      ,50°C....750°C/0.0....10.0K/min                                                                                                                                                                                                  
#SEGMENT:                    ,S1-3/3                                                                                                                                                                                                                          
#SEG. 1:                     ,50°C/00:10/50°C                                                                                                                                                                                                                 
#SEG. 2:                     ,50°C/10.0(K/min)/750°C                                                                                                                                                                                                          
#SEG. 3:                     ,750°C/00:05/750°C                                                                                                                                                                                                               
