LABORATORY,FSRI 
TEST IDENT,FRP_Panel_HF50_1
OPERATOR,Dow
MATERIAL,Fiber Reinforced Plastic Panel
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04218441992998123
SPEC HOLDER DIFF,-566
SPECIMEN MASS,33.560001373291016
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,983
TIME TO IGN,29.75
END OF TEST SCAN,503
END OF TEST TIME,125.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.89 x 102.50 x 2.07 mm; with calcium silicate substrate
