LABORATORY,FSRI 
TEST IDENT,FacePiece_HF75_1
OPERATOR,Dow
MATERIAL,Phoenix Arizona SCBA Face Piece 
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03776770830154419
SPEC HOLDER DIFF,366.32000732421875
SPECIMEN MASS,45.209999084472656
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,711
TIME TO IGN,37.25
END OF TEST SCAN,231
END OF TEST TIME,57.75
TEST STATUS,1
,
POST TEST CMT,removed and extinguished sample 10 seconds after ignition. Pressed end test button shortly after. 
