LABORATORY,FSRI 
TEST IDENT,PMMA_NoSpark_HF15_1
OPERATOR,Dow
MATERIAL,"PMMA, clear, 0.12 in."
ORIENTATION,Horizontal
HEAT FLUX,15
SURF AREA,0.009999999776482582
C FACTOR,0.03670355677604675
SPEC HOLDER DIFF,-57.600006103515625
SPECIMEN MASS,32.599998474121094
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5290
TIME TO IGN,0
END OF TEST SCAN,4810
END OF TEST TIME,1202.5
TEST STATUS,1
PRE TEST CMT,no spark ignitor. end test at MLR less than 2.5 g/m^2/s or 20 min
POST TEST CMT,MLR did not exceed 1.0 g/min
